,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1
29,0,1,5,770.0,3.0,35.0,1,1,17-05-2016,46.58625,144.4,11.02416667,11.24,1,42.23034196,49.71246692,87.1221875,92.88,30.70635417,33.52,1,0,0,30462,10501,10501-7990-2,Kumbharwada,19.3384794,72.875326,30462_10501_30
30,1,0,4,849.0,18.0,40.0,1,1,17-05-2016,8.475104167,202.88,11.05052083,11.25,1,42.23034196,49.71246692,87.1221875,92.88,30.70635417,33.52,1,0,0,30462,10501,10501-7990-2,ChippiChawl,19.3374794,72.875266,30462_10501_31
31,0,0,7,550.0,10.0,15.0,1,0,20-05-2016,113.26,165.33,10.881875,11.13,0,43.71640551,50.88505653,84.516875,90.58,31.35739583,34.11,1,0,0,30462,10501,10501-7990-2,LoharChawl,19.3377794,72.87472423,30462_10501_32
32,0,1,0,960.0,4.0,6.0,0,1,21-05-2016,57.775,75.95,10.97197917,11.18,1,43.81713938,49.01716061,83.6084375,89.64,31.47979167,33.78,1,0,0,30462,10501,10501-7990-2,ChippiChawl,19.3386667,72.874412,30462_10501_33
33,0,1,7,2300.0,14.0,10.0,0,1,24-05-2016,135.4734375,289.46,11.05270833,11.28,1,43.46514875,50.27764031,82.99791667,89.56,31.46270833,34.23,1,0,0,30462,10501,10501-7990-2,Chinchbunder,19.3164557,72.87325973,30462_10501_34
34,0,0,7,1250.0,9.571917808219178,30.0,1,1,26-05-2016,71.7546875,167.84,10.985,11.2,1,43.03405496,49.53002181,82.09375,87.32,31.42739583,34.19,1,0,0,30462,10501,10501-7990-2,DanaBandar,19.3407307,72.87527643,30462_10501_35
35,1,0,0,593.0,3.0,22.0,1,0,27-05-2016,18.46,18.46,11.02322917,11.23,0,42.34956794,49.03189411,81.31739583,88.75,31.3375,34.09,1,0,0,30462,10501,10501-7990-4,Pydhonie,19.3820999,72.87856416,30462_10501_36
36,1,0,5,849.0,18.0,40.0,1,1,28-05-2016,9.120416667,183.92,10.97947917,11.28,1,42.84830624,49.83049047,81.41697917,88.62,31.46895833,34.41,1,0,0,30462,10501,10501-7990-2,GulalWadi,19.3852207,72.87962283,30462_10501_37
37,2,0,7,1148.5,5.0,22.75098814229249,1,1,30-05-2016,156.0,178.81,11.0596875,11.34,0,42.84552268,49.03807418,80.96854167,88.21,31.51927083,33.85,1,0,0,30462,10501,10501-7990-5,Panjarpole,19.3264227,72.87650603,30462_10501_38
38,0,0,2,755.0,3.0,23.0,1,0,03-06-2016,5.897916667,145.33,10.26229167,11.34,1,42.19049084,47.85059743,78.8546875,86.06,31.59114583,34.59,1,0,0,30462,10501,10501-7990-2,MumbadeviArea,19.2425866,72.87184115,30462_10501_39
39,0,1,7,2487.0,18.0,12.0,0,1,04-06-2016,104.5417708,266.79,10.9721875,11.26,1,43.22014764,48.4327468,82.18479167,87.58,31.46760417,34.25,1,0,0,30462,10501,10501-7990-2,BhendiBazaar,19.3858597,72.87044803,30462_10501_40
40,2,1,7,365.0,1.0,12.0,0,1,05-06-2016,156.0,214.36,11.04375,11.32,1,42.42151359,46.71351356,83.26395833,89.84,31.12270833,33.5,1,0,0,30462,10501,10501-7990-2,NullBazar,19.3891347,72.87162503,30462_10501_41
41,1,2,0,1253.0,16.0,22.75098814229249,1,1,05-06-2016,1.44375,1.45,11.01583333,11.24,0,42.42151359,46.71351356,83.26395833,89.84,31.12270833,33.5,1,0,0,30462,10501,10501-7990-2,Pydhonie,19.3958827,72.87220333,30462_10501_42
42,0,0,7,640.0,10.0,18.0,1,0,09-06-2016,21.2590625,207.04,11.07145833,11.37,1,44.03069333,49.92312273,82.17114583,88.0,31.69385417,34.27,1,0,0,30462,10501,10501-7990-2,ChippiChawl,19.4215687,72.87372073,30462_10501_43
43,1,1,0,533.7,7.0,21.0,1,0,09-06-2016,12.66104167,110.26,11.06885417,11.37,1,44.03069333,49.92312273,82.17114583,88.0,31.69385417,34.27,1,0,0,30462,10501,10501-7990-2,MasjidBandarEast,19.4698617,72.87988603,30462_10501_44
44,0,0,7,1605.7,18.0,21.0,1,0,10-06-2016,27.98895833,185.06,11.0871875,11.42,1,44.55958364,49.40772716,83.21322917,88.49,31.71197917,33.97,1,0,0,30462,10501,10501-7990-2,MasjidBandarWest,19.4782177,72.87989573,30462_10501_45
45,0,1,7,1040.0,8.0,12.0,0,1,10-06-2016,145.2055208,206.59,10.65770833,11.09,0,44.55958364,49.40772716,83.21322917,88.49,31.71197917,33.97,1,0,0,30462,10501,10501-7990-7,Thakurdwar,19.4950777,72.87036243,30462_10501_46
46,0,1,0,2487.0,3.0,6.0,0,1,19-06-2016,75.19625,170.61,10.95260417,11.19,1,39.02452872,43.97388594,88.554375,97.38,29.68166667,31.67,1,0,0,30462,10501,10501-7990-9,ChorBazaar,19.5508727,72.87291663,30462_10501_47
47,0,0,0,760.0,2.0,16.0,1,1,23-06-2016,29.29604167,70.72,11.088125,11.3,1,33.78643798,40.9906267,93.73708333,100.0,27.86083333,30.9,1,0,0,30462,10501,10501-7990-2,ShapurBaug,19.5509727,72.87292663,30462_10501_48
48,0,0,2,933.8,10.0,20.0,1,1,24-06-2016,29.636875,144.38,11.00770833,11.3,1,32.62931506,42.41436965,95.79291667,100.0,27.39083333,30.79,1,0,0,30462,10501,10501-7990-2,Khetwadi,19.5511727,72.87294663,30462_10501_49
49,0,0,0,1381.0,24.0,25.0,1,1,24-06-2016,17.19239583,80.31,10.2009375,11.2,1,32.62931506,42.41436965,95.79291667,100.0,27.39083333,30.79,1,0,0,30462,10501,10501-7990-2,ShapurBaug,19.5515727,72.87298663,30462_10501_50
50,0,0,0,580.6,7.0,22.75098814229249,1,0,28-06-2016,0.1,0.1,10.93572917,11.21,0,30.10608281,37.25290017,99.2084375,100.0,26.51177083,28.71,1,0,0,30462,12850,37574-12850-5,OperaHouse,19.5238127,72.87524573,30462_12850_51
51,0,2,0,1365.93,26.0,31.0,1,1,30-06-2016,29.98,29.98,11.11697917,11.52,0,29.72093144,37.48469857,97.52875,100.0,26.44770833,29.27,1,0,0,30462,12850,37574-12850-5,CawasjiPatelTank,19.5069917,72.87591573,30462_12850_52
52,1,0,0,849.0,18.0,40.0,1,1,04-07-2016,9.505520833,129.62,10.98614583,11.25,1,30.13895833,37.34,99.0715625,100.0,26.5175,28.91,0,1,0,30462,12850,37574-12850-5,GulalWadi,19.4850877,72.87467283,30462_12850_53
53,0,0,0,691.21,4.0,26.0,1,1,15-07-2016,12.21,12.21,11.10635417,11.35,0,32.168125,40.46,95.5209375,100.0,27.290625,30.23,0,1,0,30462,12850,37574-12850-5,Khotachiwadi,19.4683387,72.87402963,30462_12850_54
54,2,0,0,544.7,10.0,20.0,1,0,17-07-2016,43.659375,62.6,10.998125,11.19,0,32.831875,39.31,95.935625,100.0,27.47177083,29.92,0,1,0,30462,12850,37574-12850-5,Ambewadi,19.4675187,72.87175543,30462_12850_55
55,0,2,0,384.0,1.0,22.75098814229249,1,0,07-08-2016,0.0,0.0,11.0975,11.39,0,31.38821023,37.81135972,96.79239583,100.0,26.98135417,29.02,0,1,0,30462,12850,37574-12850-5,GaneshWadi,19.4626707,72.87398193,30462_12850_56
56,1,0,0,2173.8,11.0,15.0,1,0,10-08-2016,0.1,0.1,11.05166667,11.3,0,32.00023099,35.57753315,91.71572917,97.36,27.366875,28.65,0,1,0,30462,12850,37574-12850-5,Khetwadi,19.4535397,72.87399373,30462_12850_57
57,0,1,0,811.2,2.0,12.0,0,1,12-08-2016,11.32083333,135.97,11.14322917,11.38,1,33.92877412,40.42670174,96.26354167,100.0,27.75052083,29.9,0,1,0,30462,12850,37574-12850-5,Bhatwadi,19.3856597,72.87022973,30462_12850_58
58,0,1,0,1130.5,4.0,10.0,0,1,14-08-2016,33.1853125,40.53,11.015,11.22,1,33.55463988,38.37249507,94.17416667,99.95,27.7365625,29.33,0,1,0,30462,12850,37574-12850-5,ShapurBaug,19.007248,72.87641853,30462_12850_59
59,1,1,0,533.7,7.0,21.0,1,0,21-08-2016,25.29,37.4,11.01708333,11.1,1,35.7783619,41.9099686,92.88520833,100.0,28.45354167,30.58,0,1,0,30462,12850,37574-12850-5,MangalWadi,19.0046194,72.87640956,30462_12850_60
60,0,1,0,1480.5,10.0,10.0,0,1,28-08-2016,11.8915625,43.13,10.96697917,11.18,1,30.2739905,37.14978937,99.5959375,100.0,26.52864583,28.6,0,1,0,30462,12850,37574-12850-5,OperaHouse,19.001019,72.87651513,30462_12850_61
61,0,1,0,1130.5,4.0,10.0,0,1,06-09-2016,42.48,42.48,11.06322917,11.23,0,33.09106028,40.8744548,87.51125,93.81,27.95010417,30.97,0,1,0,30462,12850,37574-12850-9,ApolloBandar,19.0011784,72.87690815,30462_12850_62
62,1,0,0,2202.4,15.0,20.0,1,0,10-09-2016,2.0,2.0,11.183125,11.43,0,32.43936148,40.88779623,93.59166667,100.0,27.48052083,30.52,0,1,0,30462,12850,37574-12850-4,AzadNagar,19.000835,72.87731872,30462_12850_63
63,0,2,0,201.6,4.0,42.0,1,1,21-09-2016,15.79510417,88.18,11.03427083,11.25,1,26.35729366,31.28649383,99.32291667,100.0,25.32489583,26.97,0,1,0,30462,12850,37574-12850-5,MachimarNagar,19.006391,72.8797224,30462_12850_64
64,1,2,0,1613.43,21.0,22.75098814229249,1,1,23-09-2016,29.79,29.79,11.12864583,11.26,0,29.52338843,36.15538116,99.8271875,100.0,26.28666667,28.16,0,1,0,30462,12850,37574-12850-5,GaneshMurtiNagar,19.006766,72.87972431,30462_12850_65
65,1,0,0,1275.3,10.0,20.0,1,0,25-09-2016,0.1,0.1,10.84520833,11.09,0,29.43401635,34.65421466,95.07885417,100.0,26.3603125,28.27,0,1,0,30462,12850,37574-12850-5,MachimarNagar,19.0070082,72.87017005,30462_12850_66
66,0,1,0,1340.0,5.0,10.0,0,1,04-10-2016,0.0,0.0,11.03458333,11.28,0,27.15715459,30.7661533,98.23958333,100.0,25.6159375,26.91,0,1,0,30462,12850,37574-12850-5,ApolloBandar,19.013942,72.87237155,30462_12850_67
67,0,0,0,582.8,20.0,15.0,1,1,09-10-2016,0.1,0.1,11.006875,11.17,0,32.51250118,42.1740966,93.90125,100.0,27.44604167,30.92,0,1,0,30462,12850,37574-12850-5,BabasahebAmbedkarNagar,19.024792,72.87317626,30462_12850_68
68,0,1,0,1340.0,5.0,10.0,0,1,11-10-2016,0.0,0.0,11.0884375,11.28,0,33.7589348,43.2981746,92.61979167,100.0,27.93510417,31.41,0,1,0,30462,12850,37574-12850-5,BackbayReclamation,19.038879,72.8772447,30462_12850_69
69,0,0,0,1150.0,25.0,17.0,1,1,12-10-2016,14.18572917,119.52,11.10770833,11.39,1,32.37452049,40.13350504,91.27302083,100.0,27.5871875,30.72,0,1,0,30462,12850,37574-12850-5,GaneshMurtiNagar,19.046867,72.87298394,30462_12850_70
70,0,0,0,1084.9,6.0,23.0,1,0,13-10-2016,0.1,0.1,11.13197917,11.33,1,32.25334017,41.23611155,87.74552083,96.86,27.71322917,31.74,0,1,0,30462,12850,37574-12850-5,NewNavyNagar,19.0484089,72.87256838,30462_12850_71
71,0,0,0,869.43,5.0,32.0,1,1,26-10-2016,25.71354167,93.26,11.01135417,11.15,1,29.94409723,39.28861593,77.14260417,90.13,27.41541667,32.9,0,1,0,30462,12850,37574-12850-1,OldNavyNagar,19.056441,72.87055082,30462_12850_72
72,1,0,0,593.0,3.0,22.0,1,0,30-10-2016,18.07,18.07,11.06760417,11.3,0,29.26244479,35.56880955,65.86791667,82.22,27.62197917,33.12,0,1,0,30462,12850,37574-12850-6,AzadNagar,19.0821338,72.87199161,30462_12850_73
